"amount","previousBalance","transactionStatus","transanctionRelatedType","transanctionTime","transanctionType"
5,0,"Success","Signup Bonus","2024-04-28T20:52:31.435Z","Credit"
5,0,"Success","Cash Bonus","2024-04-28T20:52:31.441Z","Credit"
4.75,5,"Success","EntryFee","2024-04-28T21:00:10.145Z","Debit"
5,0.25,"Success","Winnings","2024-04-29T17:32:16.906Z","Credit"
35,5.25,"Success","Credit","2024-05-05T09:50:11.435Z","Credit"
38,40.25,"Success","EntryFee","2024-05-05T09:54:06.628Z","Debit"
38,2.25,"Success","Refund","2024-05-05T10:00:00.079Z","Credit"
38,40.25,"Success","EntryFee","2024-05-05T11:43:24.622Z","Debit"
100,2.25,"Success","Winnings","2024-05-05T16:03:32.656Z","Credit"
94.25,102.25,"Success","EntryFee","2024-05-06T04:19:03.899Z","Debit"
94.25,8,"Success","Refund","2024-05-06T14:00:00.077Z","Credit"
38,102.25,"Success","EntryFee","2024-05-07T08:59:42.297Z","Debit"
38,64.25,"Success","Refund","2024-05-07T09:00:00.065Z","Credit"
38,102.25,"Success","EntryFee","2024-05-09T01:32:54.156Z","Debit"
39.25,64.25,"Success","EntryFee","2024-05-09T20:19:13.507Z","Debit"
20,25,"Success","EntryFee","2024-05-09T20:20:08.546Z","Debit"